woord afkap
ontoeganklik on-toe-gank-lik
ontroof on-troof
ontruk ont-ruk
ontsluit on-tsluit
onttrek ont-trek
ontvang ont-vang
ontwaak ont-waak
ontwrig ont-wrig
ontwykend ont-wy-kend
onuitwisbaar on-uit-wis-baar
onveranderd on-ver-an-derd
onverganklikheid on-ver-gank-lik-heid
onverkort on-ver-kort
onversadig on-ver-sa-dig
onverstoorb're on-ver-stoorb're
onverwag on-ver-wag
onverwelkb're on-ver-welkb're
onvolprese on-vol-pre-se
onwankelbaar on-wan-kel-baar
onweerskoor on-weer-skoor
onweerswolk on-weers-wolk
onwelvoeglik on-wel-voeg-lik
oog oog
oogbewys oog-be-wys
oogsalf oogsalf
ooit ooit
ook ook
